attachment_id	user_id	text	begin	end	height	width	train	length
b58d2903-982a-4981-a1ff-630879c7873d	0c954cec2fd8884fff2ceeb41bd1b89d	А	19	74	1030	1080	True	93
2a12723a-1c35-4796-8387-1abbd23632a3	b6bc47e76a066769495f3a22455713b5	А	19	53	1280	720	True	99
5f421023-c1e7-4834-9ada-13ebcd9d0686	362b7038ed4bd4b527fce434f14d2aaf	А	47	91	1920	1080	True	137
0e63db46-2cb6-4071-b5ad-e30e0e174183	0f7aee11724db9ef1f9df422f7443e28	А	38	78	1920	1080	True	153
a590870e-0d34-4733-a722-7ad3059acc00	b34ac47997680835ece485b13845fefd	А	18	63	1920	1080	True	94
30086a99-d588-4384-b3f4-a598f9f68c4b	a5f261810c66a72ed1d61890eefe1672	А	32	82	1280	720	True	124
7d378997-e337-40d0-b055-287b1beed7c6	a8b89f85a363edca5d0cfa080065f2d6	А	9	50	1920	1080	True	69
beb8ad0f-1985-4566-a557-1d5d112b4323	abd669cafd4f2078708e1cb1846e1bd6	А	46	102	1920	1080	True	161
b16243d5-9c6e-4027-ade4-88f4facbc9fe	d5a3d6c977e8ce1cd3a4eac0908d4d7d	А	7	50	1920	1080	True	80
5ef7aca4-09ef-41e4-8a8c-96b2a21e7d4f	e9df86cd8713f2fa9f2077a2197c7136	А	19	98	1920	1080	True	155
bbfa2d8c-07cc-48ac-b112-b2c89703349e	911876c4ffc0dd4cf21f61ea1acf5a0b	А	44	84	1920	880	True	154
673337cc-39d9-4af2-921f-2a288610d19d	138356c62cb9cd6168ec85fd31dbb1de	А	10	64	1920	1080	True	110
581bd8c8-9615-42d1-84eb-a4bad6f8fab4	28f7e6734615f41bc0366dee5c563f09	А	39	107	720	1280	True	132
c83073db-4afa-4779-a16b-6acbfdd95f45	b6dbf3d8d6ed9fb9283b687910f6e829	А	14	57	1920	1080	True	87
6d025dd9-d63d-409e-ad00-d8ebb0d460be	dc96b1d1a840878c4ad209500dea570b	А	31	78	1920	920	True	121
03418eff-468d-46f9-9983-d8310c58ba04	6520ea9b92b24339fb538be29b315e0b	А	8	34	1920	1080	True	56
8d9ecd4e-8915-4582-b93e-78ab50389f78	23f5ca29e3183e356572642263a836ac	А	29	75	720	1280	True	104
90417a43b96b79277c73542f36c41f59	27901	А	21	75	1920	1080	True	110
a2f2d58719411705301787caba0f2e97	29585	А	6	39	1920	1080	True	71
2ebc2d6456459ce8122a05f1fd9bef06	28593	А	28	65	1280	720	True	108
58ef52b542bd3d698669674732f94790	30009	А	37	86	1280	720	True	165
3e8b308be4f600cf5ab9d4e846c0541f	23309	А	17	63	1280	720	True	64
d230965a0bdac7afb1becef8d29fc9e0	21759	А	31	79	1920	1080	True	144
c5529adfa4f7f31f0c15a4a2407afb09	29673	А	35	82	1920	1080	True	142
259d831dcd402770830437e891733ebc	29283	А	30	96	1280	720	True	128
5cb88e8f3a059f66c7a67a6a44f53691	29318	А	44	93	1280	720	True	123
f7f4f624a0e2ba88bde9372767082350	29898	А	32	80	720	960	True	97
85688b5c1a80ffcb830c1c94e166725a	29751	А	11	57	1920	1080	True	87
108d81c9845bf07e2cb41be878147429	22109	А	29	67	1280	720	True	93
2620a0fbaabe360856000ccfb702bbe3	29970	А	15	45	1920	1080	True	80
55c8fe8abb44fc2e20a58ad94f776f1e	13790	А	44	89	720	1280	True	109
6d963a744c2d67e3ca21c7dd12734e2b	21288	А	23	79	1280	720	True	82
046665aed5a4536773266f0c39c8d03e	29229	А	34	92	1920	1080	True	148
2e0b298e12ae48f7722a3db057c44f48	27086	А	21	54	1920	1080	True	103
cb872cac7fcdbe188412fc69804ff6e2	27399	А	8	65	1920	1080	True	96
99d4d538-a083-4414-8cfb-f4ddf9435401	c3bc70b01dcc8b515891a4d097719b0f	А	62	96	1920	1080	True	160
18c6c316-7269-4d52-9837-a394f3b8f974	efc86825b9a40bcdcc9b54ab81aab3fe	А	12	78	1920	1080	True	91
fa9ab207-c3bc-4338-aba0-a5505b107945	33b317c5a26046cafcd795a2fe4e919e	А	24	58	1080	1920	True	94
5c95bed4-10b6-4056-b8c8-378cca4f2133	2d5120991a63d659f0eef6123f092100	А	40	73	1920	1080	True	126
61b8a0f2-9d33-4321-98b8-0eff2360b8fe	0c3d5473fba13210722e53374b736416	А	12	52	1920	1080	True	81
84b06377-9c6a-40c6-a208-0715c6ba2292	49b45af05ac6192685bee4e29cdf1e48	А	16	64	1080	1920	True	99
04df97a2-bd85-4733-a8c1-31640e9e4f23	53c3af7712ee8220b2faed1a55a82eca	А	14	49	1080	1920	True	86
7ce58e5c-dec5-465b-b617-6ebe8d0c12d5	194612f32f5297e4699c2c0beb9b336a	А	36	73	1920	1080	True	109
47ebce83-c276-4043-a726-157752395ec0	48bc83c415e12683f469d16027829654	А	22	63	1920	1080	True	119
fa113622-3986-4df8-ad6b-f497a5197a07	4299b8ccf39ace57287b463fbe4a489b	А	24	61	1920	960	True	94
12358e97-15d5-44f7-9bc8-bfcfabcc16fa	6ca843830e5d2608f5d486f02e37dad9	А	8	37	1920	1080	True	59
5010e6c3-10cc-4760-8573-79e74acd12e2	3018b64d2c938f5b6a0826dfdf486f2c	А	23	69	1920	1080	True	115
860ad986-2e85-4247-9b6b-99d120feb2af	4b8f634baac82dd96142fa1220b79759	А	19	60	1920	1080	True	85
1f1a0f57-10f7-4d83-8d4b-04247ec1e243	04af3ba065bb7423e0685ebe180751c1	А	26	59	1920	1440	True	69
7fa2145b-c187-47ae-bdcc-12e0d3238a3e	c80b4e57f158f28299b2a89694c42329	А	26	68	1920	1080	True	134
837b8591-91d1-40ba-9d31-8bcb01cd1180	f15c4e5b9dfe541cf7e6c05733b579e2	А	13	68	1920	1080	True	93
1c7e6cad-b514-4fb6-9d4d-2db88b9357f6	55ac05bf18204955c640591070dd1118	А	32	66	1920	1198	True	133
1493aea4-eb27-4300-9b9e-9bcb32dbe29d	5cfa6de910fe7b0af5f422d0df9f06d5	А	15	60	1920	1080	False	88
cd27bdc9-4f86-4258-abbc-45e0135e644a	7c0fb4e90495815f55cb0deb35cbc95e	А	21	75	1920	1080	True	121
bd5704a0-0905-488a-85c9-252e04288982	f3cf3f9bb709ce2bee3da304a4ccb427	А	34	72	1920	1080	True	148
c8e2914e-03ca-41c0-8fb7-60c5019b07a5	1cdaed3814fe5a4bfa9baa5d3f94ecc4	А	39	62	1080	1920	False	121
9996a3fe-81f7-4088-b44c-68a34b1e0fba	86ec735f573ae6c36a9dbf9e5bfd4eaf	А	64	114	1920	1080	True	173
4d8c5d92-17c9-4cb3-8df8-b943df02b388	95d5ca4d8706b85bfe8447cc7e83c86a	А	5	43	1920	822	False	88
46ba17ed-6fae-4284-93e0-fb1ad9615e0e	e97c55b450c4b2ae48a165e349f0f3eb	А	25	63	1920	1080	True	117
9fcd2760-5759-4c43-a83c-5e1ae4dcbad6	c2f39049d2c1d9527683ed47b4fb6ad7	А	7	37	1920	1080	True	45
b6c4239a-8f5a-467b-9509-7879ea8dc855	ff169f3bbab458308b88188be3657125	А	11	55	1080	1920	True	124
e7138da6-d1d6-4673-afda-4e95f82f49f4	bd6e2ad7ab53ceb7b8de9a1842844071	А	24	60	1920	1080	True	116
63f519fb-801a-4cea-8616-15de097506f2	bd22df5de9c7373f6182446d80e4eef3	А	33	74	1920	1080	True	109
8c990ed4-991d-4e9f-baa6-5ee1d67fbb3e	7c989fdb633be7453228f7c650097205	А	25	59	1920	1080	True	84
e16b7745-5072-4945-9660-41262d7dcb91	7faa41c4cf0a2602a23390de23574993	А	36	85	1920	1080	True	195
c61c7bb8-9a86-4363-9f0a-ff429d9fd5f5	a8a635e6eaa8edb003c5a2b1cef789b5	А	25	62	1440	1440	True	104
68dc8848-3e53-42f5-b9a9-ae4b7eef4029	d01fdbbbd69ec8c4914397ba4abb899c	А	56	117	1920	1080	True	120
9808c137-6b17-488f-b963-620050a4de73	adfe9c8ea85db4e65f36572669cbfed5	А	9	53	1920	1080	True	107
03a4b0ee-6087-43fb-b19b-39b801aa16aa	28d653d3548e4508aaa6acbb5dfbeb64	А	71	111	1920	1080	True	173
e2a7025c02d81460bf9ae9c3b28336a6	27658	А	50	123	1920	1080	False	154
73847b387a088e4901e4f1fb216d88eb	29674	А	16	52	1920	1080	True	69
582ef0677662c25c263a0e923e9a43eb	29804	А	29	94	1920	1080	True	189
f4b20d79509473b1c185f20626154d92	21710	А	22	78	1920	1080	False	113
1fa7944c-fd18-4e4f-bcc2-61893121b0cd	ca6b767f0cccf093ba737ae2fc4fec3d	Б	12	59	1920	1080	True	80
e8c0bab4-4c98-4b1e-8c10-f7130f2f744b	a95892dae1d320bd8b08cbca6a127cd8	Б	7	44	1080	1920	False	57
9603023d-a2e3-449b-8f68-2e345bb5ca6e	185bd3a81d9d618518d10abebf0d17a8	Б	35	118	1920	1080	False	169
78650a89-9239-4c62-ab4b-491c850eeb60	9a0784a99ea13a8b06cb103c2c8c7f0f	Б	11	101	1920	1080	True	103
022038fa-24cd-4a99-8ae5-683ee99b3b2a	0ab4f8e463cdded2e59d6001f4e1b487	Б	22	71	1080	1920	False	115
15278242-9823-4549-bb75-e9468c603cae	1860c7f3605089bf0eff0c4e72c7add4	Б	78	180	1440	1440	True	199
26597670-0aab-41e2-97c1-0231207bb8e4	46dd04a1caa75ed3082b573cb5a3ad26	Б	6	58	1920	1080	False	89
2a2e9760-d277-4419-a6d9-66624b39c46f	fc6e5caa3dc328e7558b072e6607e399	Б	22	66	1920	1080	False	84
d9171a06-bbad-4278-95b7-4e8c1b551e2d	95af8e702c909eee7145c6dc1a3d756b	Б	3	79	1280	720	False	99
0d2f1657-fbc7-45a1-857c-7d068904f05f	db573f94204e56e0cf3fc2ea000e5bdc	Б	3	52	1280	720	False	96
41c4958b-7bb4-4ba2-94b3-ac368ca172e2	0211b488644476dd0fec656ccb9b74fc	Б	13	51	1920	1080	False	87
72942dc6-618a-46fe-9ef6-b52761b507f0	a356848cf0a72f961b81ebb6716f6131	Б	32	144	1920	1080	True	216
90bf9809-7eb8-48fb-bdea-ff2b5c528ed2	50334f2a79561498829a34a2c90984b1	Б	79	155	1920	1080	False	263
2e5ba730-8998-4471-bcc3-101f1846bbca	2d84da20c251acaeb3186642fcb04f2e	Б	13	71	1920	1080	False	108
4b198f30-90e2-45a8-84be-d6aabf81e180	9f9b13d8e63bd774b4ad1bd14f56147d	Б	20	64	720	1280	False	87
ad659c7b-1e7f-4d30-93d0-bcd619949d5d	f5b82a9c82f6d870ec253e4c3fa96d83	Б	10	105	1920	1080	False	154
3c7688ae-5cfe-43b1-9784-bace12d2a5dc	b07a773bcb10b4f14f33d2b0e8ec58ba	Б	54	133	720	1280	False	173
8e2ab721-0745-4dc7-a075-f45b4676c102	0df9d6e419cb18069e696edaa170ba87	Б	28	66	1920	864	True	124
f79dd4af-0498-40f0-aa20-3306da93ebed	4299b8ccf39ace57287b463fbe4a489b	Б	23	59	1920	960	True	92
547df2d2-0732-4a62-aa7f-07a8ff9cc27b	12c7911f38c7113ce13c71dbd785ce22	Б	11	39	1920	1080	True	61
0f6679fc-f8a1-4817-b2da-d57ce4e51b5d	f2dc6eab563f93d86629c1cfe479f09d	Б	10	61	1440	1440	True	78
c3303f88-4eee-4fc0-8d9c-7219967be238	4d26ad833542291c50de9ce88fb4f64a	Б	14	69	1920	1080	False	137
ba8df1ef-5e1b-4e55-87a4-a40385995a91	3dd2ce2659aada17b976390004ebe322	Б	0	43	1920	886	True	80
555eaa37-5740-4584-8478-011a73a6200d	87fe0712fdd150ecc8d02cbbb2e047d6	Б	17	98	1280	720	True	99
130022a8-7730-4506-a290-e56254756b15	68f27043789bb049757486b0ed1cbaab	Б	67	118	720	1280	True	136
d35da9e8-30fa-4ac5-90b8-a4287ee943a7	b4e852a75cacf8642412dfc05e2126a3	Б	0	35	1920	1080	True	62
05760c6a-237c-4c1d-90c2-4e4e54b7e3b8	feea6c22175f962ab28452f7314d1bc0	Б	36	79	720	1280	True	88
954434cf-aa02-4ece-853b-0590566ac4d4	52003757d6b63a3ee7a71f36f5a9a17b	Б	6	57	1920	1080	True	90
c73027c7-8998-430f-8c80-fc5422d4093a	76aa633fcb2bec4e6b0852635a8af57c	Б	4	62	1920	1080	True	98
5f6afb9e-6210-46ad-8307-544bcd31cadd	4aef7889ad6cd118ce4dab1e3b998a01	Б	7	40	1920	1080	True	74
a963b772-b11e-4760-acc4-172da5daab40	ab460ff83e8c5b13a705a9e2081023c2	Б	0	43	1920	880	True	78
31ae5ae4-f4ee-45b3-b43e-a085c7b2b637	aa12bfdceb971561727e86d34aff35ac	Б	2	57	1920	1080	True	90
de9f7f5e-18ee-476a-88f1-aaf55c701853	fb1007e5ffe149cc08bccaf8eda2ce31	Б	34	91	1280	720	True	163
0012d479-de1e-40cb-8450-851fd3bd9b7c	81c0cdc37caa67e7ddf8e06c0a4443c8	Б	25	88	1920	880	True	124
fd2db3fb-3d86-4544-81f3-45f8b8acf3c3	33b317c5a26046cafcd795a2fe4e919e	Б	29	61	1080	1920	True	113
fba120ed-ddab-41f1-9f28-19fa6f8a9f88	3cf00ecfe200a3990d42c6464286d6fb	Б	12	81	1920	1080	True	106
e1f82a3b-602b-487b-992b-09c7f845d961	55ac05bf18204955c640591070dd1118	Б	22	67	1920	1080	True	105
61920440-8df0-4333-ba5d-240e28955b8b	32f4bb8542738fa1980831515d2949ea	Б	9	50	1920	1080	True	78
993bb481-e37d-4864-a473-37ffcb0167f4	a85134b72f825ac9569e44e9ae53b128	Б	17	71	1920	1080	True	108
6787e783-ddf0-48e3-8b3f-a4c89b38d80b	8c34c33a92e42220b2e080bdb388d532	Б	16	37	1920	1080	True	67
7dcec297-aee0-4ff2-b1d0-5e5ce7a398eb	362b7038ed4bd4b527fce434f14d2aaf	Б	29	85	1920	1080	True	134
d7321750-b261-4a1d-a75e-5c6922d380c6	1cdaed3814fe5a4bfa9baa5d3f94ecc4	Б	16	55	1080	1920	False	86
8925534a-8a23-418a-b83f-b51f9d7d48ed	b6bc47e76a066769495f3a22455713b5	Б	16	56	1280	720	True	84
6fb7bae4-3378-4f09-8260-c8db161f42f2	d5a3d6c977e8ce1cd3a4eac0908d4d7d	Б	3	48	1920	1080	True	79
a5919352-482f-4352-a537-bafe6bd9b587	138356c62cb9cd6168ec85fd31dbb1de	Б	33	54	1920	1080	True	121
bf9c9cb9-5c6c-45ba-8d3f-944e5aa71647	2916c8f459bac1870fe3897d0340b148	Б	26	89	720	1280	True	129
8a3229e9-2693-46a3-96ec-b76af0dbbfa1	a050ef5cb26b9d7f2ccdbedd1411ffa9	Б	36	80	1280	720	True	114
20486692-1451-41d4-8267-e49b29bfdf81	2fa7bff4283637452ca0e2575a1815be	Б	8	49	1920	1080	True	78
f308d5ee-b472-4b02-9293-4bbb7855f87d	28f7e6734615f41bc0366dee5c563f09	Б	45	103	720	1280	True	131
b9518907-bc53-459e-bbc3-896c1639b739	e9df86cd8713f2fa9f2077a2197c7136	Б	31	143	1920	1080	True	203
9aff4406-9634-49b0-9b01-790ad3ef875b	f3cf3f9bb709ce2bee3da304a4ccb427	Б	39	86	1920	1080	True	160
2b234e4f-593d-4ec6-b2dc-0f346a81ee96	a8dc3ffc818b23319cea1757602ad8e8	Б	12	57	1280	720	True	93
49a88c58-f6e7-4b70-a42c-6f3a192e7060	911876c4ffc0dd4cf21f61ea1acf5a0b	Б	41	97	1920	880	True	133
c85f7444-3ce9-45a5-a1f5-c4791f36e519	95d5ca4d8706b85bfe8447cc7e83c86a	Б	4	53	1920	822	False	91
18c8d1b1-4d0f-4e1d-85c1-bca34ecb1436	bd4e2755d88d8d835a07df3c78cdfc3c	Б	12	50	1920	1080	True	76
5c0d9721d406c54726409b5485f5e888	29479	Б	7	79	1920	1080	True	83
066980ac531c42e1ead9a2e8eab7696f	27901	Б	35	117	1920	1080	True	153
c5cd018380c845b3cf65e887ea113e54	28593	Б	25	73	1280	720	True	127
20f6aef9fea771520c7f33a6b0fc0d36	30009	Б	36	84	1280	720	True	183
0e35a5a893cb5e78f929fce016590a5e	29970	Б	1	56	1920	1080	True	80
a249ecf62a26754d8b3d1b063e5b9aa2	24438	Б	37	98	1280	720	True	164
36309d83aa19b2de522eb050f96cd9e1	23309	Б	29	79	1280	720	True	83
2d3e645cb18309d7f9497eed16d8de43	29673	Б	28	124	1920	1080	True	172
90b8cdb94879b16293e36bd5e6102849	21759	Б	23	81	1920	1080	True	140
d0ba479d9203ea9e2467ecdd22e85ad9	29283	Б	45	134	1280	720	True	159
ac4a0df5d5201c6a4f12a28ffcf817ed	29318	Б	44	89	1280	720	True	118
88f0e52b269b2f3613dbde087e65ea98	29229	Б	44	99	1920	1080	True	190
88bae84cada173310b59d5e234ea9cb5	29751	Б	8	61	1920	1080	True	102
4c3c0053a9818f3c82db60fb4c0cb4f4	27086	Б	14	58	1920	1080	True	92
618eac24322955fc6020e34edc94fbc7	22109	Б	30	85	1280	720	True	91
29f390c46ac5b164e8c3ac77ab4d3960	13790	Б	35	98	720	1280	True	98
e51696979af5a3a28502035233b2ee00	21271	Б	62	118	1280	720	True	161
100fec9535a40011c62302a0631035f1	27399	Б	8	73	1920	1080	True	108
648fbb2d-f45a-4727-8426-375a80254c61	efc86825b9a40bcdcc9b54ab81aab3fe	Б	14	68	1920	1080	True	72
fc5c7327-7218-4609-aa43-985d21e74250	0041ec866777f12c384b64d8cd636277	Б	14	67	1920	1080	False	102
eaf0ceb8-9660-483d-9ac8-06fd53113148	2d5120991a63d659f0eef6123f092100	Б	18	77	1080	1920	True	120
9f832787-2a06-41a3-8560-4d592d08da6e	0c3d5473fba13210722e53374b736416	Б	21	58	1920	1080	True	94
a60d63ac-4cec-46fb-8514-9524e8e8bc37	49b45af05ac6192685bee4e29cdf1e48	Б	23	66	1080	1920	True	116
69c7804e-777c-4c72-88be-ae88adde69a6	53c3af7712ee8220b2faed1a55a82eca	Б	19	53	1080	1920	True	98
b98b2022-83e6-4f80-b817-7bae73b591c6	48bc83c415e12683f469d16027829654	Б	21	73	1920	1080	True	141
cda80966-42f0-43d7-9db1-8097a3f441df	b6dbf3d8d6ed9fb9283b687910f6e829	Б	17	67	1920	1080	True	108
357b45e5-20a0-4f76-8356-87ffb1ad3409	e4bd328bca8e6f51bd6f4f019692b666	Б	29	67	1440	1440	True	94
0ba11e9c-0fcb-4b0c-8c5e-a0e59988ec01	6ca843830e5d2608f5d486f02e37dad9	Б	0	48	1920	1080	True	49
cd0dd289-1286-4219-bfb6-5b3bc3672704	570c2405d58fe08bce66f55c42bc36b0	Б	22	86	1080	1920	True	166
065a0dbd-144a-411a-89c9-c74d1945ceac	3018b64d2c938f5b6a0826dfdf486f2c	Б	28	68	1920	1080	True	116
a66e0427-f287-4975-8840-4481491b359e	324cdee3d2550397efb761d8fff48139	Б	10	49	1920	1080	True	95
4a680067-e6fa-4878-a1bc-97e7166d7f89	04af3ba065bb7423e0685ebe180751c1	Б	27	56	1920	1440	True	81
cc42270e-e0d4-4254-89b7-d88592c8bfa5	c80b4e57f158f28299b2a89694c42329	Б	26	66	1920	1080	True	118
a21b1dee-5b3c-4219-8c9e-9e42792deed8	3ef4548431002f9f8fd7f39987be22c1	Б	27	64	1920	1080	True	100
82a92eba-2a84-421b-87e6-c1a263ed90cb	f15c4e5b9dfe541cf7e6c05733b579e2	Б	7	83	1920	1080	True	83
c41db11a-f942-4019-bd94-c423a8971e81	5cfa6de910fe7b0af5f422d0df9f06d5	Б	19	56	1920	1080	False	99
491c8e44-e9ac-4c92-b3f5-42eefbfbd180	7c0fb4e90495815f55cb0deb35cbc95e	Б	12	51	1920	1080	True	91
bf6747f7-b2ba-499f-9565-6ffa16e1262f	6520ea9b92b24339fb538be29b315e0b	Б	10	58	1920	1080	True	71
4d310677-e313-4f70-af22-e0ce00b922fd	0f7aee11724db9ef1f9df422f7443e28	Б	51	101	1920	1080	True	171
6b31ec5c-f620-4edc-baef-5a91c5dda496	c2f39049d2c1d9527683ed47b4fb6ad7	Б	11	45	1920	1080	True	56
9f5a90a2-6233-4c1b-8e9c-5e448195a4a5	b34ac47997680835ece485b13845fefd	Б	13	67	1920	1080	True	100
c486daf0-b1c1-47c5-9525-8c436cd3c72e	bd6e2ad7ab53ceb7b8de9a1842844071	Б	41	87	1920	1080	True	139
b8e4433d-81a5-41f5-800a-a5798ae5615f	b56726d7b447d88e526f7da2e9e0e520	Б	25	83	1920	1080	True	128
1acf302b-b021-4c27-9b6a-9105caebf25f	83624345fa124849e833a8664f21f3ea	Б	26	73	1920	1080	True	128
4c5f3fe6-0322-4e54-a6a1-e6ad68359454	7c989fdb633be7453228f7c650097205	Б	22	56	1920	1080	True	78
20e0bcd0-3b9d-451e-8c29-47d2a641433f	6753ca229e01b1c71053cb265fd93013	Б	44	104	1440	1080	True	131
a281e666-36fe-4f56-8c2d-65217ec3a8db	a8a635e6eaa8edb003c5a2b1cef789b5	Б	20	56	1440	1440	True	91
90314be1-b980-4f50-a8a2-6ecbcdfaec1d	d01fdbbbd69ec8c4914397ba4abb899c	Б	17	54	1920	1080	True	104
e4fb7d93-475f-4ba8-a26f-0d1fd7bf286a	08b8fc47e7a869751c13f64a922e6c15	Б	6	47	1920	822	True	71
f276ecf7c5b74ff87c98bb91251a63e9	29674	Б	14	53	1920	1080	True	72
f757f7f844c9b788ff6ada98575c8a06	30057	Б	15	70	1920	1080	True	116
b9dce55985c2bf9af14454dbc8e0c2b1	21710	Б	21	75	1920	1080	False	109
7bef9205-42a9-4812-9b60-f7e4968bc35a	9a0784a99ea13a8b06cb103c2c8c7f0f	В	12	57	1920	1080	True	68
918f500c-289b-458c-8d0c-7875450d071f	ca6b767f0cccf093ba737ae2fc4fec3d	В	15	57	1920	1080	True	86
4bbaee59-7610-4bcb-ba8c-ebcba3870e74	185bd3a81d9d618518d10abebf0d17a8	В	28	95	1920	1080	False	136
